Day,Priority,Brand,Country,Segment,Styla category,For,Website,Likely chart URL — VERIFY,Columns to look for,Status,Uploaded,Cuts found,Notes
Day 1,P1,7 For All Mankind,US,Denim,Bottoms,Both,https://7forallmankind.com,https://7forallmankind.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,AG Jeans,US,Denim,Bottoms,Both,https://agjeans.com,https://agjeans.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Abercrombie & Fitch,US,Denim,Bottoms,Both,https://abercrombie.com,https://abercrombie.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,American Eagle,US,Denim,Bottoms,Both,https://ae.com,https://ae.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Boyish Jeans,US,Denim,Bottoms,Women's,https://boyish.com,https://boyish.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Citizens of Humanity,US,Denim,Bottoms,Both,https://citizensofhumanity.com,https://citizensofhumanity.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,DL1961,US,Denim,Bottoms,Both,https://dl1961.com,https://dl1961.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,DUER,CA,Denim,Bottoms,Both,https://shopduer.com,https://shopduer.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Everlane,US,Denim,Bottoms,Both,https://everlane.com,https://everlane.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,FRAME,US,Denim,Bottoms,Both,https://frame-store.com,https://frame-store.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Frank And Oak,CA,Denim,Bottoms,Both,https://frankandoak.com,https://frankandoak.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Gap,US,Denim,Bottoms,Both,https://gap.com,https://gap.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Good American,US,Denim,Bottoms,Women's,https://goodamerican.com,https://goodamerican.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Hudson Jeans,US,Denim,Bottoms,Both,https://hudsonjeans.com,https://hudsonjeans.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Joe's Jeans,US,Denim,Bottoms,Both,https://joesjeans.com,https://joesjeans.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Kotn,CA,Denim,Tops,Both,https://kotn.com,https://kotn.com/pages/size-guide,"chest/bust, waist, shoulder, sleeve, body length",Not started,No,,
Day 1,P1,Lee,US,Denim,Bottoms,Both,https://lee.com,https://lee.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Levi's,US,Denim,Bottoms,Both,https://levi.com,https://levi.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Lucky Brand,US,Denim,Bottoms,Both,https://luckybrand.com,https://luckybrand.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,MOTHER Denim,US,Denim,Bottoms,Women's,https://motherdenim.com,https://motherdenim.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Madewell,US,Denim,Bottoms,Women's,https://madewell.com,https://madewell.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Naked & Famous Denim,CA,Denim,Bottoms,Both,https://nakedandfamousdenim.com,https://nakedandfamousdenim.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Old Navy,US,Denim,Bottoms,Both,https://oldnavy.gap.com,https://oldnavy.gap.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,PAIGE,US,Denim,Bottoms,Both,https://paige.com,https://paige.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Silver Jeans Co.,CA,Denim,Bottoms,Both,https://silverjeans.com,https://silverjeans.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Triarchy,CA,Denim,Bottoms,Both,https://triarchy.com,https://triarchy.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Warp + Weft,US,Denim,Bottoms,Both,https://warpweftworld.com,https://warpweftworld.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Wrangler,US,Denim,Bottoms,Both,https://wrangler.com,https://wrangler.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Yoga Jeans,CA,Denim,Bottoms,Women's,https://yogajeans.com,https://yogajeans.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,rag & bone,US,Denim,Bottoms,Both,https://rag-bone.com,https://rag-bone.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,11 Honoré,US,Petite / Tall / Plus,Dresses,Women's,https://11honore.com,https://11honore.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 1,P1,Alloy Apparel,US,Petite / Tall / Plus,Bottoms,Women's,https://alloyapparel.com,https://alloyapparel.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,Amalli Talli,US,Petite / Tall / Plus,Bottoms,Women's,https://amallitalli.com,https://amallitalli.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 1,P1,American Tall,CA,Petite / Tall / Plus,Bottoms,Both,https://americantall.com,https://americantall.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,American Tall,CA,Petite / Tall / Plus,Tops,Both,https://americantall.com,https://americantall.com/pages/size-guide,"chest/bust, waist, shoulder, sleeve, body length",Not started,No,,
Day 2,P1,Ann Taylor Petite,US,Petite / Tall / Plus,Bottoms,Women's,https://anntaylor.com,https://anntaylor.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Ann Taylor Petite,US,Petite / Tall / Plus,Dresses,Women's,https://anntaylor.com,https://anntaylor.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 2,P1,Athleta,US,Petite / Tall / Plus,Leggings,Women's,https://athleta.gap.com,https://athleta.gap.com/pages/size-guide,"waist, hip, inseam, rise",Not started,No,,
Day 2,P1,Banana Republic Petite,US,Petite / Tall / Plus,Bottoms,Women's,https://bananarepublic.gap.com,https://bananarepublic.gap.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Chico's,US,Petite / Tall / Plus,Bottoms,Women's,https://chicos.com,https://chicos.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Dia & Co,US,Petite / Tall / Plus,Dresses,Women's,https://dia.com,https://dia.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 2,P1,ELOQUII,US,Petite / Tall / Plus,Bottoms,Women's,https://eloquii.com,https://eloquii.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,ELOQUII,US,Petite / Tall / Plus,Dresses,Women's,https://eloquii.com,https://eloquii.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 2,P1,Girlfriend Collective,US,Petite / Tall / Plus,Leggings,Women's,https://girlfriend.com,https://girlfriend.com/pages/size-guide,"waist, hip, inseam, rise",Not started,No,,
Day 2,P1,Height Goddess,US,Petite / Tall / Plus,Bottoms,Women's,https://heightgoddess.com,https://heightgoddess.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Henning,US,Petite / Tall / Plus,Tops,Women's,https://henningnyc.com,https://henningnyc.com/pages/size-guide,"chest/bust, waist, shoulder, sleeve, body length",Not started,No,,
Day 2,P1,J.Crew Petite,US,Petite / Tall / Plus,Bottoms,Women's,https://jcrew.com,https://jcrew.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,J.Crew Petite,US,Petite / Tall / Plus,Dresses,Women's,https://jcrew.com,https://jcrew.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 2,P1,Kirrin Finch,US,Petite / Tall / Plus,Dress shirts,Both,https://kirrinfinch.com,https://kirrinfinch.com/pages/size-guide,"neck, chest, waist, sleeve, shoulder, body length",Not started,No,,
Day 2,P1,Knix,CA,Petite / Tall / Plus,Bras,Women's,https://knix.com,https://knix.com/pages/size-guide,"underbust, bust, band, cup",Not started,No,,
Day 2,P1,LOFT Petite,US,Petite / Tall / Plus,Bottoms,Women's,https://loft.com,https://loft.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,LOFT Petite,US,Petite / Tall / Plus,Dresses,Women's,https://loft.com,https://loft.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 2,P1,Lane Bryant,US,Petite / Tall / Plus,Bottoms,Women's,https://lanebryant.com,https://lanebryant.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Lane Bryant,US,Petite / Tall / Plus,Dresses,Women's,https://lanebryant.com,https://lanebryant.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 2,P1,Long Tall Sally,US,Petite / Tall / Plus,Bottoms,Women's,https://longtallsally.com,https://longtallsally.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Long Tall Sally,US,Petite / Tall / Plus,Dresses,Women's,https://longtallsally.com,https://longtallsally.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 2,P1,Madewell Plus,US,Petite / Tall / Plus,Bottoms,Women's,https://madewell.com,https://madewell.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Nordstrom (house brands),US,Petite / Tall / Plus,Dresses,Women's,https://nordstrom.com,https://nordstrom.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 2,P1,Old Navy Plus,US,Petite / Tall / Plus,Bottoms,Women's,https://oldnavy.gap.com,https://oldnavy.gap.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Penningtons,CA,Petite / Tall / Plus,Bottoms,Women's,https://penningtons.com,https://penningtons.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,RW&CO. Petite,CA,Petite / Tall / Plus,Bottoms,Women's,https://rw-co.com,https://rw-co.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Reitmans,CA,Petite / Tall / Plus,Bottoms,Women's,https://reitmans.com,https://reitmans.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Simons Twik/Contemporaine,CA,Petite / Tall / Plus,Dresses,Women's,https://simons.ca,https://simons.ca/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 2,P1,Talbots Petite,US,Petite / Tall / Plus,Bottoms,Women's,https://talbots.com,https://talbots.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Tall Slim Tees,US,Petite / Tall / Plus,Tops,Men's,https://tallslimtees.com,https://tallslimtees.com/pages/size-guide,"chest/bust, waist, shoulder, sleeve, body length",Not started,No,,
Day 2,P1,Torrid,US,Petite / Tall / Plus,Bottoms,Women's,https://torrid.com,https://torrid.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
Day 2,P1,Torrid,US,Petite / Tall / Plus,Dresses,Women's,https://torrid.com,https://torrid.com/pages/size-guide,"bust, waist, hip, length (hollow-to-hem)",Not started,No,,
Day 2,P1,Universal Standard,US,Petite / Tall / Plus,Bottoms,Women's,https://universalstandard.com,https://universalstandard.com/pages/size-guide,"waist, hip, inseam, rise, thigh, leg opening",Not started,No,,
